u,v,weight
275792,783088,2.2804
715488,6112,2.2862
191312,73488,2.2886
806384,771664,2.2893
447600,248000,2.2908
67888,9744,2.2910
28976,421440,2.2917
581408,221136,2.2932
117824,117600,2.2941
944528,75536,2.2951
450384,190288,2.2955
819968,505952,2.2961
735136,349152,2.2962
114848,8528,2.2987
411280,839152,2.3015
638928,924368,2.3021
209424,123248,2.3025
617344,414640,2.3051
589024,164784,2.3061
991408,605664,2.3069
651648,476192,2.3070
737696,668048,2.3081
364192,210720,2.3090
883104,493296,2.3093
934448,678512,2.3110
178080,384512,2.3117
654480,525440,2.3132
201376,93712,2.3132
238672,205504,2.3139
682896,422608,2.3196
673472,609296,2.3200
155408,808816,2.3220
843104,603072,2.3222
973568,348192,2.3230
261376,37408,2.3230
360496,61184,2.3262
598352,376736,2.3266
559024,337968,2.3268
699152,771008,2.3269
770400,412656,2.3276
996784,243936,2.3281
440704,416944,2.3301
182304,441616,2.3304
887984,64336,2.3309
610880,177088,2.3316
889840,523072,2.3323
529664,346688,2.3323
128032,5616,2.3326
721936,490912,2.3340
398048,143712,2.3369
258944,174368,2.3403
710016,719792,2.3404
108416,671760,2.3408
286608,232976,2.3415
73808,69840,2.3428
514512,361232,2.3442
830496,391632,2.3458
592016,302128,2.3466
423744,102512,2.3469
134432,104320,2.3480
431056,511248,2.3500
827936,483728,2.3504
836336,647408,2.3504
525056,31424,2.3512
216496,619040,2.3530
675712,561936,2.3535
655424,287760,2.3545
804928,61328,2.3581
779360,343968,2.3604
348256,603056,2.3626
104880,31152,2.3647
709312,782704,2.3652
386512,25040,2.3665
762896,155808,2.3668
750368,411568,2.3693
5216,303856,2.3714
222768,159280,2.3733
448272,887664,2.3737
800240,88416,2.3750
248464,600272,2.3752
301280,87792,2.3756
984304,11312,2.3768
210880,123248,2.3772
910704,133712,2.3772
969424,779088,2.3775
386080,744144,2.3790
994800,721376,2.3794
365680,748704,2.3821
51696,44832,2.3826
874016,402816,2.3827
733760,57312,2.3838
429488,154944,2.3866
655248,254544,2.3874
119168,63280,2.3883
240384,138128,2.3895
214032,160880,2.3899
635808,192384,2.3912
828176,311760,2.3951
745264,153168,2.3963
163536,94160,2.3970
898960,116080,2.3995
916560,792704,2.3996
733632,137552,2.4049
929728,877632,2.4056
120128,32256,2.4074
621232,357744,2.4078
858768,276544,2.4100
720784,608816,2.4124
827520,961376,2.4148
16784,81520,2.4154
906192,766112,2.4179
445648,533792,2.4206
258736,70064,2.4213
859920,21040,2.4217
575840,558832,2.4291
423728,26480,2.4303
438528,646624,2.4310
776912,54128,2.4313
833408,431440,2.4319
826112,619136,2.4320
91424,312816,2.4324
437248,265056,2.4356
881632,221808,2.4377
936336,400880,2.4385
799760,674976,2.4409
5552,413568,2.4409
483120,283712,2.4424
491168,239952,2.4425
407216,202000,2.4425
20768,548640,2.4429
234240,246208,2.4432
386336,419136,2.4441
244624,177008,2.4454
524368,332928,2.4455
904192,173232,2.4485
861152,773536,2.4488
35072,18912,2.4533
39264,465312,2.4540
655072,627792,2.4542
566384,106576,2.4577
351616,207584,2.4621
741168,178896,2.4627
972336,324976,2.4628
683072,372800,2.4632
602688,173984,2.4633
268960,866160,2.4635
556384,16384,2.4637
802288,218688,2.4648
799376,415168,2.4660
4048,2032,2.4673
808080,142752,2.4677
244416,173872,2.4685
106128,2480,2.4695
337536,960128,2.4705
810256,661760,2.4708
165936,733872,2.4723
67392,2112,2.4746
758880,463472,2.4764
523408,232656,2.4775
296400,133120,2.4775
848800,725632,2.4844
560848,71824,2.4847
699328,893344,2.4852
815584,558944,2.4857
758528,14768,2.4874
920064,478800,2.4881
391088,4624,2.4893
724576,434864,2.4893
442752,61456,2.4907
97904,12640,2.4920
523248,326256,2.4934
857024,236256,2.4941
165680,62736,2.4992
174160,670480,2.5019
306096,98544,2.5019
488272,518368,2.5020
